artists,album_name,duration_ms,danceability_x,energy_x,mode_x,acousticness_x,valence_x,tempo_x,time_signature,track_genre,album_id,duration,Album Rating,rating
Metronomy,The English Riviera,277653,0.638,0.535,0,0.623,0.504,84.947,4,electronic,716fnrS2qXChPC3J2X73pK,277653.0,71.0,7.0
Metronomy,The English Riviera,277653,0.638,0.535,0,0.623,0.504,84.947,4,electronic,716fnrS2qXChPC3J2X73pK,277653.0,71.0,7.0
James Blake,Overgrown,223600,0.533,0.251,0,0.873,0.186,77.503,4,electronic,53FEYOXnplxBWoQMmWn82U,223600.0,64.0,8.0
James Blake,Overgrown,223600,0.533,0.251,0,0.873,0.186,77.503,4,electronic,53FEYOXnplxBWoQMmWn82U,223600.0,64.0,7.0
James Blake;Bon Iver,The Colour In Anything,257219,0.293,0.29,1,0.696,0.0373,128.276,4,electronic,1WyrGCkFDlH1xPadZ5qTkL,257219.0,59.0,5.0
Bonobo,The North Borders,352246,0.64,0.844,0,0.395,0.364,119.042,4,electronic,7sN6lCgPf1rbZYmA3edMKv,352246.0,46.2,6.0
Chromatics,Kill For Love,322994,0.61,0.385,0,0.96,0.128,108.967,4,electronic,2Fp5KBgyC0ac2oitVlsJhY,322994.0,52.0,4.0
Tycho,Awake,283636,0.552,0.877,1,0.0585,0.597,176.05,4,electronic,0GjrPTT00KWsalUi8jnpR9,283636.0,58.0,6.0
XXXTENTACION;Trippie Redd,17,146520,0.797,0.533,0,0.0172,0.329,131.036,4,emo,5VdyJkLe3yvOs0l4xXbWp0,146520.0,77.1,2.0
XXXTENTACION;Trippie Redd,17,146520,0.797,0.533,0,0.0172,0.329,131.036,4,emo,5VdyJkLe3yvOs0l4xXbWp0,146520.0,77.1,4.0
Lil Peep;XXXTENTACION,"Come Over When You're Sober, Pt. 2",196400,0.669,0.574,0,0.0175,0.273,120.013,4,emo,52JymrguPgkmmwLaWIusst,196400.0,65.9,4.0
XXXTENTACION,SKINS,94245,0.78,0.492,0,0.0643,0.374,143.983,4,emo,1qsQOC4Jn0fnaUZLAbs4dz,94245.0,63.1,2.0
6ix9ine;Nicki Minaj;Murda Beatz,DUMMY BOY,179404,0.931,0.387,1,0.088,0.375,125.978,4,emo,06XM9ExRELs8dcuwEAn1jd,179404.0,65.0,4.0
6ix9ine;Nicki Minaj;Murda Beatz,DUMMY BOY,179404,0.931,0.387,1,0.088,0.375,125.978,4,emo,06XM9ExRELs8dcuwEAn1jd,179404.0,65.0,4.0
Lil Pump,Lil Pump,124055,0.936,0.523,1,0.239,0.699,119.889,4,emo,2VVvm4zJlUQm9XmBCvGN6z,124055.0,60.0,7.0
6ix9ine,TattleTales,132303,0.611,0.688,1,0.0264,0.393,178.462,4,emo,6q8AAimjVfKuv9PrI5xto9,132303.0,56.6,3.0
Paramore,After Laughter,182693,0.695,0.818,0,0.00647,0.916,119.965,4,emo,1c9Sx7XdXuMptGyfCB6hHs,182693.0,68.3,7.0
American Football,American Football,268333,0.436,0.819,1,0.0171,0.405,144.26,4,emo,3wRBlpk5PRoixwOnLujTal,268333.0,60.0,5.0
Hobo Johnson,The Fall of Hobo Johnson,215803,0.703,0.636,0,0.026,0.648,136.949,4,emo,3QrkHSj8pBzE1Kwhpnktkw,215803.0,55.0,8.0
glass beach,the first glass beach album,138119,0.341,0.661,1,0.00422,0.675,154.99,4,emo,5GOoswCqZQiq9gbjSHkzMq,138119.0,55.7,7.0
Bon Iver,Bon Iver,336613,0.374,0.304,1,0.943,0.147,147.969,4,folk,2LpfNj3vB5rOXfaawLcOBg,336613.0,59.0,6.0
Bon Iver,Bon Iver,336613,0.374,0.304,1,0.943,0.147,147.969,4,folk,2LpfNj3vB5rOXfaawLcOBg,336613.0,59.0,6.0
Arctic Monkeys,AM,183956,0.464,0.417,0,0.136,0.479,67.528,4,garage,78bpIziExqiI9qztvNFlQu,183956.0,77.3,3.0
The Strokes,Angles,235546,0.35,0.775,1,0.00433,0.588,199.866,4,garage,6Jx4cGhWHewTcfKDJKguBQ,235546.0,62.2,7.0
The Strokes,Angles,235546,0.35,0.775,1,0.00433,0.588,199.866,4,garage,6Jx4cGhWHewTcfKDJKguBQ,235546.0,62.2,7.0
Death From Above 1979,Outrage! Is Now,198081,0.511,0.724,1,0.000826,0.536,130.029,4,garage,4kKKH6cFBtNd9etSJzkMjZ,198081.0,57.0,8.0
The Spits,The Spits,72000,0.315,0.879,1,0.0453,0.424,97.984,4,garage,4IH4X1p5E6WjigQdS1Z5B6,72000.0,26.5,2.0
The Spits,The Spits,72000,0.315,0.879,1,0.0453,0.424,97.984,4,garage,4IH4X1p5E6WjigQdS1Z5B6,72000.0,26.5,2.0
Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,201706,0.467,0.645,0,0.101,0.71,127.468,3,garage,7FfiN9ztbjLNPWhuhFHaWf,201706.0,57.0,8.0
Jack White,Lazaretto,219400,0.381,0.838,0,0.0046,0.581,118.214,4,garage,36LXzRarDP8TU8K0REGpt6,219400.0,58.0,5.0
Ariel Pink;DāM-FunK,Mature Themes,287426,0.621,0.252,1,0.435,0.336,92.586,4,garage,08RdKFNm8Cu86FSzlhoAoh,287426.0,56.0,6.0
Ariel Pink,pom pom,200293,0.472,0.832,0,0.00058,0.839,134.957,4,garage,1GDEy7JQHzOvAIucRlXtGL,200293.0,54.0,9.0
Tony Molina,Dissed and Dismissed,72339,0.233,0.818,1,0.215,0.76,164.429,4,garage,0M9cDMEpqJgz6V6AynA7Sy,72339.0,24.7,7.0
Balkans,Balkans,169506,0.362,0.912,0,5.36e-05,0.444,190.024,4,garage,0vAzZE6Z6Jw05CpjxAqKo3,169506.0,24.0,7.0
Jack White,Fear Of The Dawn,214842,0.375,0.71,1,0.000867,0.559,97.335,4,garage,46qeiLBu3KwqFQpJBT7t6B,214842.0,54.0,7.0
Jack White,Fear Of The Dawn,214842,0.375,0.71,1,0.000867,0.559,97.335,4,garage,46qeiLBu3KwqFQpJBT7t6B,214842.0,54.0,7.0
Jack White,Fear Of The Dawn,214842,0.375,0.71,1,0.000867,0.559,97.335,4,garage,46qeiLBu3KwqFQpJBT7t6B,214842.0,54.0,7.0
Cattle Decapitation,Death Atlas,268080,0.244,0.986,1,3.78e-05,0.177,117.005,4,grindcore,7pp0eBrLEcmprISZOmY4ve,268080.0,41.2,6.0
Trap Them,Darker Handcraft,203066,0.262,0.988,1,1.78e-06,0.22,177.716,4,grindcore,5mdfU5YxMPnwFwJQMC9rBj,203066.0,16.8,7.0
Full Of Hell,Full of Hell & Merzbow,55955,0.305,0.998,0,8e-05,0.0286,98.95,4,grindcore,5TOfimDwyiJ71grEQMd9UH,55955.0,16.6,8.0
Trap Them,Blissfucker,256351,0.121,0.934,0,2.15e-06,0.14,166.57,4,grindcore,4UvIV3bGAXNEfTzJp1Wl5w,256351.0,14.3,5.0
